elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"CIMARRON","CIMARRON COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,6,6,2,"SEAN ROBERTS",REP,3,24,140,167,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,6,6,3,"LESLIE KATHRYN OSBORN",REP,4,15,83,102,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,6,6,1,"HAROLD D SPRADLING",REP,3,14,40,57,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,6,6,2,"JUSTIN HORNBACK",REP,1,4,86,91,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,6,6,3,"TODD THOMSEN",REP,0,12,66,78,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,6,6,4,"KIM DAVID",REP,5,14,80,99,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11010,"FOR UNITED STATES SENATOR",REP,6,6,1,"JACKSON LAHMEYER",REP,4,24,146,174,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11010,"FOR UNITED STATES SENATOR",REP,6,6,2,"JAMES LANKFORD",REP,5,24,154,183,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11010,"FOR UNITED STATES SENATOR",REP,6,6,3,"JOAN FARR",REP,0,3,9,12,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,1,"LUKE HOLLAND",REP,0,4,19,23,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,2,"MARKWAYNE MULLIN",REP,8,15,108,131,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,3,"JOHN F. TOMPKINS",REP,0,1,4,5,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,4,"SCOTT PRUITT",REP,0,2,25,27,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,5,"T.W. SHANNON",REP,1,8,47,56,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,6,"ADAM HOLLEY",REP,0,1,0,1,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,7,"RANDY J GRELLNER",REP,0,2,17,19,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,8,"ALEX GRAY",REP,0,2,3,5,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,9,"PAUL ROYSE",REP,0,0,1,1,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,10,"LAURA MORENO",REP,0,1,3,4,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,11,"NATHAN DAHM",REP,0,10,65,75,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,12,"JESSICA JEAN GARRISON",REP,0,2,4,6,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,6,6,13,"MICHAEL COIBION",REP,0,2,5,7,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,6,6,1,"FRANK D. LUCAS",REP,4,29,151,184,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,6,6,2,"WADE BURLESON",REP,5,19,138,162,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",11014,"FOR UNITED STATES REPRESENTATIVE DISTRICT 03",REP,6,6,3,"STEPHEN BUTLER",REP,0,4,19,23,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13001,"FOR GOVERNOR",DEM,6,6,1,"CONNIE JOHNSON",DEM,1,5,19,25,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13001,"FOR GOVERNOR",DEM,6,6,2,"JOY HOFMEISTER",DEM,0,0,9,9,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,6,6,1,"JASON BOLLINGER",DEM,1,1,8,10,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,6,6,2,"BRANDON WADE",DEM,0,1,8,9,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,6,6,3,"MADISON HORN",DEM,0,2,3,5,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,6,6,4,"ARYA AZMA",DEM,0,0,3,3,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,6,6,5,"JO GLENN",DEM,0,1,0,1,,
6/28/2022,"CIMARRON","CIMARRON COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,6,6,6,"DENNIS L. BAKER",DEM,0,0,6,6,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11001,"FOR GOVERNOR",REP,105,105,1,"MOIRA McCABE",REP,63,30,882,975,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11001,"FOR GOVERNOR",REP,105,105,2,"JOEL KINTSEL",REP,309,287,3686,4282,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11001,"FOR GOVERNOR",REP,105,105,3,"KEVIN STITT",REP,1063,910,13976,15949,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11001,"FOR GOVERNOR",REP,105,105,4,"MARK SHERWOOD",REP,197,170,2942,3309,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,105,105,1,"STEVEN W. McQUILLEN",REP,413,486,6437,7336,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,105,105,2,"CINDY BYRD",REP,1166,890,14347,16403,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11004,"FOR ATTORNEY GENERAL",REP,105,105,1,"GENTNER F. DRUMMOND",REP,1086,801,10655,12542,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11004,"FOR ATTORNEY GENERAL",REP,105,105,2,"JOHN M. O'CONNOR",REP,536,591,10371,11498,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11005,"FOR STATE TREASURER",REP,105,105,1,"DAVID B. HOOTEN",REP,306,184,3511,4001,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11005,"FOR STATE TREASURER",REP,105,105,2,"CLARK JOLLEY",REP,664,539,7657,8860,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11005,"FOR STATE TREASURER",REP,105,105,3,"TODD RUSS",REP,568,635,9071,10274,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,105,105,1,"JOHN COX",REP,327,245,3988,4560,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,105,105,2,"WILLIAM E. CROZIER",REP,65,55,828,948,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,105,105,3,"APRIL GRACE",REP,599,454,6552,7605,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,105,105,4,"RYAN WALTERS",REP,565,605,9193,10363,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,105,105,1,"KEITH SWINTON",REP,203,148,2934,3285,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,105,105,2,"SEAN ROBERTS",REP,409,439,7075,7923,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,105,105,3,"LESLIE KATHRYN OSBORN",REP,916,764,10024,11704,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,105,105,1,"HAROLD D SPRADLING",REP,150,194,3191,3535,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,105,105,2,"JUSTIN HORNBACK",REP,284,217,3930,4431,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,105,105,3,"TODD THOMSEN",REP,424,309,5149,5882,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,105,105,4,"KIM DAVID",REP,635,602,7382,8619,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11010,"FOR UNITED STATES SENATOR",REP,105,105,1,"JACKSON LAHMEYER",REP,218,334,5503,6055,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11010,"FOR UNITED STATES SENATOR",REP,105,105,2,"JAMES LANKFORD",REP,1295,1009,14617,16921,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11010,"FOR UNITED STATES SENATOR",REP,105,105,3,"JOAN FARR",REP,124,63,1290,1477,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,1,"LUKE HOLLAND",REP,268,195,2841,3304,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,2,"MARKWAYNE MULLIN",REP,611,462,7072,8145,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,3,"JOHN F. TOMPKINS",REP,6,11,200,217,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,4,"SCOTT PRUITT",REP,89,63,1274,1426,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,5,"T.W. SHANNON",REP,411,431,5791,6633,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,6,"ADAM HOLLEY",REP,5,6,146,157,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,7,"RANDY J GRELLNER",REP,35,46,874,955,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,8,"ALEX GRAY",REP,21,8,200,229,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,9,"PAUL ROYSE",REP,4,3,44,51,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,10,"LAURA MORENO",REP,45,20,508,573,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,11,"NATHAN DAHM",REP,92,137,1932,2161,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,12,"JESSICA JEAN GARRISON",REP,33,19,407,459,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,105,105,13,"MICHAEL COIBION",REP,3,2,56,61,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11015,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,105,105,1,"FRANK W BLACKE",REP,42,35,751,828,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11015,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,105,105,2,"JAMES TAYLOR",REP,330,391,6083,6804,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11015,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",REP,105,105,3,"TOM COLE",REP,1264,974,14455,16693,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11060,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,7,7,1,"ANTHONY MACKEY",REP,10,18,452,480,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11060,"FOR STATE REPRESENTATIVE DISTRICT 20",REP,7,7,2,"SHERRIE CONLEY",REP,23,22,557,602,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11076,"FOR STATE REPRESENTATIVE DISTRICT 36",REP,3,3,1,"DONALD PADEN",REP,2,2,19,23,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11076,"FOR STATE REPRESENTATIVE DISTRICT 36",REP,3,3,2,"ANITA RAGLIN",REP,7,6,217,230,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11076,"FOR STATE REPRESENTATIVE DISTRICT 36",REP,3,3,3,"CHARLES DE FURIA",REP,7,1,50,58,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11076,"FOR STATE REPRESENTATIVE DISTRICT 36",REP,3,3,4,"JOHN GEORGE",REP,46,4,381,431,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11076,"FOR STATE REPRESENTATIVE DISTRICT 36",REP,3,3,5,"WADE ROBERTS",REP,0,2,105,107,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11082,"FOR STATE REPRESENTATIVE DISTRICT 42",REP,1,1,1,"MATTHEW D. HUGGANS",REP,4,2,122,128,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11082,"FOR STATE REPRESENTATIVE DISTRICT 42",REP,1,1,2,"CINDY ROE",REP,3,2,163,168,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11085,"FOR STATE REPRESENTATIVE DISTRICT 45",REP,15,15,1,"DAVE SPAULDING",REP,69,83,1207,1359,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11085,"FOR STATE REPRESENTATIVE DISTRICT 45",REP,15,15,2,"TERESA STERLING",REP,131,98,1189,1418,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11086,"FOR STATE REPRESENTATIVE DISTRICT 46",REP,16,16,1,"NANCY SANGIRARDI",REP,110,88,659,857,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11086,"FOR STATE REPRESENTATIVE DISTRICT 46",REP,16,16,2,"KENDRA WESSON",REP,229,243,2351,2823,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11086,"FOR STATE REPRESENTATIVE DISTRICT 46",REP,16,16,3,"SASSAN MOGHADAM",REP,60,34,403,497,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11093,"FOR STATE REPRESENTATIVE DISTRICT 53",REP,11,11,1,"KATHREN STEHNO",REP,51,37,1021,1109,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11093,"FOR STATE REPRESENTATIVE DISTRICT 53",REP,11,11,2,"MARK McBRIDE",REP,153,99,1736,1988,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11336,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",REP,36,36,1,"ROD CLEVELAND",REP,400,339,4424,5163,CLEVELAND
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11336,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",REP,36,36,2,"RON HENDERSON",REP,167,157,2289,2613,CLEVELAND
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11413,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,32,32,1,"HAROLD HARALSON",REP,237,230,2943,3410,CLEVELAND
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",11413,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,32,32,2,"RUSTY GRISSOM",REP,241,199,3485,3925,CLEVELAND
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13001,"FOR GOVERNOR",DEM,105,105,1,"CONNIE JOHNSON",DEM,541,271,5410,6222,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13001,"FOR GOVERNOR",DEM,105,105,2,"JOY HOFMEISTER",DEM,1202,547,8063,9812,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,105,105,1,"JASON BOLLINGER",DEM,433,149,2199,2781,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,105,105,2,"BRANDON WADE",DEM,141,83,1260,1484,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,105,105,3,"MADISON HORN",DEM,567,344,5984,6895,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,105,105,4,"ARYA AZMA",DEM,56,45,999,1100,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,105,105,5,"JO GLENN",DEM,253,102,1647,2002,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,105,105,6,"DENNIS L. BAKER",DEM,249,72,1094,1415,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13084,"FOR STATE REPRESENTATIVE DISTRICT 44",DEM,13,13,1,"KATE BIERMAN",DEM,118,56,1105,1279,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13084,"FOR STATE REPRESENTATIVE DISTRICT 44",DEM,13,13,2,"JARED DECK",DEM,230,151,1948,2329,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13130,"FOR STATE REPRESENTATIVE DISTRICT 90",DEM,3,3,1,"NANA ABRAM DANKWA",DEM,24,6,185,215,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13130,"FOR STATE REPRESENTATIVE DISTRICT 90",DEM,3,3,2,"EMILLEO STOKES",DEM,8,1,98,107,,
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13413,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,32,32,1,"J. D. KROHMER",DEM,263,122,1729,2114,CLEVELAND
6/28/2022,"CLEVELAND","CLEVELAND COUNTY",13413,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",DEM,32,32,2,"MO VAUGHN",DEM,302,139,2493,2934,CLEVELAND
6/28/2022,"COAL","COAL COUNTY",11001,"FOR GOVERNOR",REP,9,9,1,"MOIRA McCABE",REP,1,6,25,32,,
6/28/2022,"COAL","COAL COUNTY",11001,"FOR GOVERNOR",REP,9,9,2,"JOEL KINTSEL",REP,4,17,83,104,,
6/28/2022,"COAL","COAL COUNTY",11001,"FOR GOVERNOR",REP,9,9,3,"KEVIN STITT",REP,2,62,340,404,,
6/28/2022,"COAL","COAL COUNTY",11001,"FOR GOVERNOR",REP,9,9,4,"MARK SHERWOOD",REP,0,22,131,153,,
6/28/2022,"COAL","COAL COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,9,9,1,"STEVEN W. McQUILLEN",REP,1,10,96,107,,
6/28/2022,"COAL","COAL COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,9,9,2,"CINDY BYRD",REP,6,100,477,583,,
6/28/2022,"COAL","COAL COUNTY",11004,"FOR ATTORNEY GENERAL",REP,9,9,1,"GENTNER F. DRUMMOND",REP,4,66,324,394,,
6/28/2022,"COAL","COAL COUNTY",11004,"FOR ATTORNEY GENERAL",REP,9,9,2,"JOHN M. O'CONNOR",REP,3,37,227,267,,
6/28/2022,"COAL","COAL COUNTY",11005,"FOR STATE TREASURER",REP,9,9,1,"DAVID B. HOOTEN",REP,4,21,128,153,,
6/28/2022,"COAL","COAL COUNTY",11005,"FOR STATE TREASURER",REP,9,9,2,"CLARK JOLLEY",REP,0,23,118,141,,
6/28/2022,"COAL","COAL COUNTY",11005,"FOR STATE TREASURER",REP,9,9,3,"TODD RUSS",REP,3,55,284,342,,
6/28/2022,"COAL","COAL COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,9,9,1,"JOHN COX",REP,0,40,211,251,,
6/28/2022,"COAL","COAL COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,9,9,2,"WILLIAM E. CROZIER",REP,0,3,19,22,,
6/28/2022,"COAL","COAL COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,9,9,3,"APRIL GRACE",REP,6,22,110,138,,
6/28/2022,"COAL","COAL COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,9,9,4,"RYAN WALTERS",REP,1,37,203,241,,
6/28/2022,"COAL","COAL COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,9,9,1,"KEITH SWINTON",REP,2,20,131,153,,
6/28/2022,"COAL","COAL COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,9,9,2,"SEAN ROBERTS",REP,2,32,214,248,,
6/28/2022,"COAL","COAL COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,9,9,3,"LESLIE KATHRYN OSBORN",REP,1,47,187,235,,
6/28/2022,"COAL","COAL COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,9,9,1,"HAROLD D SPRADLING",REP,1,17,73,91,,
6/28/2022,"COAL","COAL COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,9,9,2,"JUSTIN HORNBACK",REP,2,19,141,162,,
6/28/2022,"COAL","COAL COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,9,9,3,"TODD THOMSEN",REP,3,26,171,200,,
6/28/2022,"COAL","COAL COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,9,9,4,"KIM DAVID",REP,1,36,143,180,,
6/28/2022,"COAL","COAL COUNTY",11010,"FOR UNITED STATES SENATOR",REP,9,9,1,"JACKSON LAHMEYER",REP,0,24,111,135,,
6/28/2022,"COAL","COAL COUNTY",11010,"FOR UNITED STATES SENATOR",REP,9,9,2,"JAMES LANKFORD",REP,5,71,385,461,,
6/28/2022,"COAL","COAL COUNTY",11010,"FOR UNITED STATES SENATOR",REP,9,9,3,"JOAN FARR",REP,2,8,62,72,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,1,"LUKE HOLLAND",REP,0,6,39,45,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,2,"MARKWAYNE MULLIN",REP,4,59,337,400,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,3,"JOHN F. TOMPKINS",REP,0,2,19,21,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,4,"SCOTT PRUITT",REP,1,1,18,20,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,5,"T.W. SHANNON",REP,0,10,48,58,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,6,"ADAM HOLLEY",REP,0,0,9,9,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,7,"RANDY J GRELLNER",REP,0,6,10,16,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,8,"ALEX GRAY",REP,0,3,8,11,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,9,"PAUL ROYSE",REP,0,0,6,6,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,10,"LAURA MORENO",REP,1,3,14,18,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,11,"NATHAN DAHM",REP,1,10,38,49,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,12,"JESSICA JEAN GARRISON",REP,0,3,9,12,,
6/28/2022,"COAL","COAL COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,9,9,13,"MICHAEL COIBION",REP,0,1,11,12,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,1,"JOHN BENNETT",REP,0,8,35,43,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,2,"CHRIS SCHILLER",REP,1,3,11,15,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,3,"DAVID DERBY",REP,0,4,24,28,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,4,"JOSH BRECHEEN",REP,3,58,299,360,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,5,"GUY BARKER",REP,2,11,44,57,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,6,"PAMELA GORDON",REP,0,1,14,15,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,7,"WES NOFIRE",REP,0,2,9,11,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,8,"ERICK P. WYATT",REP,0,1,9,10,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,9,"JOHNNY TEEHEE",REP,0,9,22,31,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,10,"AVERY FRIX",REP,0,4,18,22,,
6/28/2022,"COAL","COAL COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,9,9,11,"DUSTIN ROBERTS",REP,0,6,45,51,,
